,Result,match_number,team_code,opponent_code,gender,season,team_score,team_wickets,winner_code,toss_winner_code,home_advantage,venue_city_code,choose_to_bat,avg_score,avg_win_rate,avg_wickets_out,last_match_result
Result,1.0,-0.06453869112466377,-0.08816342998184616,0.021942640856961564,-0.05540355648670556,0.10036563193274971,0.41127539832690246,-0.36442534848348085,-0.0753127226783996,0.08266068967120178,0.09494511304308909,0.021942640856961564,-0.13526546000731915,0.002007029242981851,0.052709509751153696,-0.2510342964551145,0.030413827858408928
match_number,-0.06453869112466377,1.0,0.06541791176579394,-0.05558386083852958,0.07474531869197601,-0.18796430116488239,-0.10635974108523456,0.12871973229470052,-0.0050684384911300374,-0.06391856900355465,0.04654992266501618,-0.05558386083852958,0.049239449499196696,-0.06891522638211942,0.07134103948038174,-0.07778266544070585,0.11383656689699699
team_code,-0.08816342998184616,0.06541791176579394,1.0,-0.18390206433195566,-0.12574921635763806,-0.11490992092537372,-0.21203950788301162,0.032787317120471934,0.3508409000325789,0.11106266461446793,0.10715947118820283,-0.18390206433195566,-0.09613539261675288,-0.07237453618906474,0.1409139964592236,-0.2825497942611001,0.02457795530904509
opponent_code,0.021942640856961564,-0.05558386083852958,-0.18390206433195566,1.0,0.1281695503619124,0.11712162766278093,0.061142501793401624,0.04781923012622276,0.388516240777037,0.7373760686960326,0.0639348308053744,1.0,-0.17580861159702804,0.11577649246561585,-0.04660303069906331,0.011025852278487555,-0.07027297659769899
gender,-0.05540355648670556,0.07474531869197601,-0.12574921635763806,0.1281695503619124,1.0,0.07582654033771284,0.45130121276520757,-0.032393670279144575,-0.05625941227458835,0.032086858744919865,-0.06674540699379398,0.12816955036191238,0.039893870589358886,0.7474427086867659,-0.015941367185357463,0.18565922189532982,0.006066123227029136
season,0.10036563193274971,-0.18796430116488239,-0.11490992092537372,0.11712162766278093,0.07582654033771284,1.0,0.15737374021474304,-0.030553623021990977,-0.06911427754549897,0.1417183829976412,0.05427824560659568,0.11712162766278704,-0.02702209283673248,0.05285384772635688,-0.14645685075024306,-0.022162407649336656,-0.14999999999998462
team_score,0.41127539832690246,-0.10635974108523456,-0.21203950788301162,0.061142501793401624,0.45130121276520757,0.15737374021474304,1.0,-0.5645580652738708,-0.16104054212441554,0.06647002350449226,0.04273723589044252,0.0611425017934016,-0.05110058062909016,0.2786114175395709,-0.045741517799891204,-0.0363569128255637,-0.06786983667194378
team_wickets,-0.36442534848348085,0.12871973229470052,0.032787317120471934,0.04781923012622276,-0.032393670279144575,-0.030553623021990977,-0.5645580652738708,1.0,-0.0076901965532718795,-0.09184561460936891,-0.06563391517516516,0.047819230126222786,0.051463823556191876,0.14034356746780316,-0.08281178529834361,0.10856734394826542,0.07355501838632995
winner_code,-0.0753127226783996,-0.0050684384911300374,0.3508409000325789,0.388516240777037,-0.05625941227458835,-0.06911427754549897,-0.16104054212441554,-0.0076901965532718795,1.0,0.3525549701015658,-0.019850711786412498,0.3885162407770368,-0.036868670266621446,-0.06504027974950369,-0.04096574291529318,0.005313358011584495,-0.03667288196292911
toss_winner_code,0.08266068967120178,-0.06391856900355465,0.11106266461446793,0.7373760686960326,0.032086858744919865,0.1417183829976412,0.06647002350449226,-0.09184561460936891,0.3525549701015658,1.0,0.11070741449418087,0.7373760686960326,-0.14460427145157695,0.06300258340904652,-0.049724194343104995,-0.0271154054567292,-0.09056944936403352
home_advantage,0.09494511304308909,0.04654992266501618,0.10715947118820283,0.0639348308053744,-0.06674540699379398,0.05427824560659568,0.04273723589044252,-0.06563391517516516,-0.019850711786412498,0.11070741449418087,1.0,0.06393483080537442,-0.17977695962308812,0.013771375986999288,-0.0568227123412272,-0.09554940813841843,-0.2310702455822871
venue_city_code,0.021942640856961564,-0.05558386083852958,-0.18390206433195566,1.0,0.12816955036191238,0.11712162766278704,0.0611425017934016,0.047819230126222786,0.3885162407770368,0.7373760686960326,0.06393483080537442,1.0,-0.17580861159702804,0.11577649246561585,-0.04660303069906331,0.011025852278487555,-0.07027297659769899
choose_to_bat,-0.13526546000731915,0.049239449499196696,-0.09613539261675288,-0.17580861159702804,0.039893870589358886,-0.02702209283673248,-0.05110058062909016,0.051463823556191876,-0.036868670266621446,-0.14460427145157695,-0.17977695962308812,-0.17580861159702804,1.0,0.043993835749291214,-0.174108564538293,0.2377311309910223,0.12835494097455394
avg_score,0.002007029242981851,-0.06891522638211942,-0.07237453618906474,0.11577649246561585,0.7474427086867659,0.05285384772635688,0.2786114175395709,0.14034356746780316,-0.06504027974950369,0.06300258340904652,0.013771375986999288,0.11577649246561585,0.043993835749291214,1.0,0.16484126671460778,-0.018481640590243008,0.08965483174565832
avg_win_rate,0.052709509751153696,0.07134103948038174,0.1409139964592236,-0.04660303069906331,-0.015941367185357463,-0.14645685075024306,-0.045741517799891204,-0.08281178529834361,-0.04096574291529318,-0.049724194343104995,-0.0568227123412272,-0.04660303069906331,-0.174108564538293,0.16484126671460778,1.0,-0.6463681376830891,0.45997063764887836
avg_wickets_out,-0.2510342964551145,-0.07778266544070585,-0.2825497942611001,0.011025852278487555,0.18565922189532982,-0.022162407649336656,-0.0363569128255637,0.10856734394826542,0.005313358011584495,-0.0271154054567292,-0.09554940813841843,0.011025852278487555,0.2377311309910223,-0.018481640590243008,-0.6463681376830891,1.0,-0.2503289517398483
